Region,Tower_ID,Date,Call_Drops,Signal_Strength_dBm,Congestion_Level,Handoff_Failure_Percent,Notes
Bangalore,T321,2025-09-01,46,-87,High,10.1,Office-hours congestion
Bangalore,T321,2025-09-02,54,-90,High,10.4,Weekend event nearby
Bangalore,T321,2025-09-03,41,-86,Medium,6.9,Stable performance
Bangalore,T321,2025-09-04,40,-85,High,9.3,Office-hours congestion
Bangalore,T321,2025-09-05,49,-91,High,7.1,Recent equipment upgrade
Bangalore,T321,2025-09-06,51,-87,High,7.3,Office-hours congestion
Bangalore,T321,2025-09-07,53,-87,High,10.1,Weekend event nearby
Bangalore,T321,2025-09-08,62,-95,High,7.0,Poor weather
Bangalore,T321,2025-09-09,51,-87,High,7.1,Scheduled maintenance window
Bangalore,T321,2025-09-10,45,-90,Medium,7.3,Routine traffic
Bangalore,T321,2025-09-11,53,-94,Medium,10.2,Standard load conditions
Bangalore,T321,2025-09-12,42,-89,Medium,7.7,Stable performance
Bangalore,T321,2025-09-13,49,-87,High,7.3,Stable performance
Bangalore,T321,2025-09-14,55,-90,High,7.9,Weekend event nearby
Bangalore,T322,2025-09-01,22,-82,Medium,9.1,Normal operation
Bangalore,T322,2025-09-02,38,-83,High,10.8,New residential area load
Bangalore,T322,2025-09-03,35,-89,Medium,8.5,Normal operation
Bangalore,T322,2025-09-04,37,-86,High,9.8,Weekend event nearby
Bangalore,T322,2025-09-05,39,-90,Medium,9.6,Routine traffic
Bangalore,T322,2025-09-06,43,-82,High,9.4,Heavy user load
Bangalore,T322,2025-09-07,54,-91,High,10.5,Standard load conditions
Bangalore,T322,2025-09-08,48,-82,High,7.5,New residential area load
Bangalore,T322,2025-09-09,45,-82,High,11.2,Office-hours congestion
Bangalore,T322,2025-09-10,45,-85,High,11.1,No anomalies reported
Bangalore,T322,2025-09-11,44,-90,High,7.7,Heavy user load
Bangalore,T322,2025-09-12,35,-85,Medium,9.0,Standard load conditions
Bangalore,T322,2025-09-13,42,-83,High,8.1,No anomalies reported
Bangalore,T322,2025-09-14,37,-87,Medium,9.3,Backhaul link degraded
Chennai,T654,2025-09-01,14,-66,Low,3.4,Standard load conditions
Chennai,T654,2025-09-02,24,-77,High,0.9,Office-hours congestion
Chennai,T654,2025-09-03,15,-75,Low,3.1,Standard load conditions
Chennai,T654,2025-09-04,4,-67,Low,0.5,Normal operation
Chennai,T654,2025-09-05,9,-77,Medium,0.5,Backhaul link degraded
Chennai,T654,2025-09-06,3,-68,Low,1.7,Standard load conditions
Chennai,T654,2025-09-07,21,-72,High,0.5,Standard load conditions
Chennai,T654,2025-09-08,13,-69,Low,0.5,Normal operation
Chennai,T654,2025-09-09,9,-66,Medium,0.5,Routine traffic
Chennai,T654,2025-09-10,5,-70,Low,1.8,No anomalies reported
Chennai,T654,2025-09-11,9,-70,Medium,0.5,Standard load conditions
Chennai,T654,2025-09-12,11,-75,Medium,1.4,Stable performance
Chennai,T654,2025-09-13,12,-76,Medium,1.3,Stable performance
Chennai,T654,2025-09-14,3,-67,Low,0.5,Routine traffic
Chennai,T655,2025-09-01,25,-75,Medium,3.7,No anomalies reported
Chennai,T655,2025-09-02,17,-75,Medium,2.5,Normal operation
Chennai,T655,2025-09-03,15,-73,Medium,0.6,Standard load conditions
